B1_PRV1
B1_CUSTD
B1_UPRC
B2_VFIM1
B2_VFIM2
B2_VFIM3
B2_VFIM4
B2_VFIM5
B2_VATU1
B2_VATU2
B2_VATU3
B2_VATU4
B2_VATU5
B2_CM1
B2_CM2
B2_CM3
B2_CM4
B2_CM5
B2_CMFF1
B2_CMFF2
B2_CMFF3
B2_CMFF4
B2_CMFF5
B9_VINI1
B9_VINI2
B9_VINI3
B9_VINI4
B9_VINI5
B9_VINIFF1
B9_VINIFF2
B9_VINIFF3
B9_VINIFF4
B9_VINIFF5
B9_CUSTD
B6_PRUNIT
B6_CUSTO1
B6_CUSTO2
B6_CUSTO3
B6_CUSTO4
B6_CUSTO5
B6_CUSFF1
B6_CUSFF2
B6_CUSFF3
B6_CUSFF4
B6_CUSFF5
C2_VATU1
C2_VATU2
C2_VATU3
C2_VATU4
C2_VATU5
C2_VINI1
C2_VINI2
C2_VINI3
C2_VINI4
C2_VINI5
C2_VFIM1
C2_VFIM2
C2_VFIM3
C2_VFIM4
C2_VFIM5
C2_APRATU1
C2_APRATU2
C2_APRATU3
C2_APRATU4
C2_APRATU5
C2_APRINI1
C2_APRINI2
C2_APRINI3
C2_APRINI4
C2_APRINI5
C2_APRFIM1
C2_APRFIM2
C2_APRFIM3
C2_APRFIM4
C2_APRFIM5
C2_VINIFF1
C2_VINIFF2
C2_VINIFF3
C2_VINIFF4
C2_VINIFF5
C2_VFIMFF1
C2_VFIMFF2
C2_VFIMFF3
C2_VFIMFF4
C2_VFIMFF5
C2_APINFF1
C2_APINFF2
C2_APINFF3
C2_APINFF4
C2_APINFF5
C2_APFIFF1
C2_APFIFF2
C2_APFIFF3
C2_APFIFF4
C2_APFIFF5
C3_PRECO
C8_PRECO
C6_PRCVEN
C6_PRUNIT
C7_PRECO
C9_PRCVEN
CK_PRCVEN
CK_PRUNIT
CR_TOTAL
CR_VALLIB
D1_VUNIT
D1_CUSTO1
D1_CUSTO2
D1_CUSTO3
D1_CUSTO4
D1_CUSTO5
D1_VALDEV
D1_CUSFF1
D1_CUSFF2
D1_CUSFF3
D1_CUSFF4
D1_CUSFF5
D2_PRCVEN
D2_CUSTO1
D2_CUSTO2
D2_CUSTO3
D2_CUSTO4
D2_CUSTO5
D2_CUSFF1
D2_CUSFF2
D2_CUSFF3
D2_CUSFF4
D2_CUSFF5
D2_VARPRUN
D2_PRUNIT
D2_VALDEV
D3_CUSTO1
D3_CUSTO2
D3_CUSTO3
D3_CUSTO4
D3_CUSTO5
D3_CUSFF1
D3_CUSFF2
D3_CUSFF3
D3_CUSFF4
D3_CUSFF5
ADB_PRCVEN
ADB_PRUNIT
CK_PRCVEN
CK_PRUNIT
D6_VRUNIT
DA1_PRCBAS
DA1_PRCVEN
DA1_VLRDES
